"object_type","group","bertel_table","bertel_field","tourinsoft_collection","tourinsoft_field","cardinality","transform","crosswalk_domain","required","privacy","mapping_status","review_status","evidence","notes"
"HOT|HLO|CAMP","object","","","","ClassificationType.ThesLibelle","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 210/210","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","ClassificationType.ThesOrdre","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
"HOT|HLO|CAMP","object","","","","ClassificationType.ThesPicto","0..1","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/210",""
"HOT|HLO|CAMP","object","object_location","code_insee","","CodeINSEE","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object_location","postcode","","CodePostal","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object_location","city","","Commune","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object_location","latitude","","GmapLatitude","0..1","string_decimal","","optional","public","string_decimal","approved","FSHebergementOTISud 210/211",""
"HOT|HLO|CAMP","object","object_location","longitude","","GmapLongitude","0..1","string_decimal","","optional","public","string_decimal","approved","FSHebergementOTISud 210/211",""
"HOT|HLO|CAMP","object","","","","IdentifiantSoubik","0..1","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 208/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Lieudit","0..1","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/134","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Lieudit.ThesCode","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 77/77","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","Lieudit.ThesID","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 77/77",""
"HOT|HLO|CAMP","object","object_location","lieu_dit","","Lieudit.ThesLibelle","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 77/77",""
"HOT|HLO|CAMP","object","","","","Lieudit.ThesOrdre","0..1","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 77/77",""
"HOT|HLO|CAMP","object","","","","Lieudit.ThesPicto","0..1","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/77",""
"HOT|HLO|CAMP","object","object","name","","Nometablissement","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object","object_type","","ObjectTypeFix","0..1","crosswalk_external_id","object_type","observed_100pct","public","crosswalk_external_id","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object","object_type","","ObjectTypeName","0..1","crosswalk","object_type","observed_100pct","public","crosswalk","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object","published_at","","Published","0..1","utc_iso8601","","observed_100pct","public","utc_iso8601","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","","","","RaisonSociale","0..1","excluded_private","","optional","private","excluded_private","excluded","FSHebergementOTISud 120/211",""
"HOT|HLO|CAMP","object","","","","SIRET","0..1","excluded_private","","optional","private","excluded_private","excluded","FSHebergementOTISud 11/211",""
"HOT|HLO|CAMP","object","object","id","","SyndicObjectID","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","object","name","","SyndicObjectName","0..1","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","object","","","","SyndicObjectOrder","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 211/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","SyndicStructureId","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 211/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","TIS_TRACKING_LISTING_OFFRE","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 211/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","","","","TIS_TRACKING_OFFRE","0..1","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 211/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","object","object","updated_at","","Updated","0..1","utc_iso8601","","observed_100pct","public","utc_iso8601","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Access","object_location","direction","Access","Descriptifduplandacces","0..n","strip_markdown","","optional","public","strip_markdown","approved","FSHebergementOTISud 170/211",""
"HOT|HLO|CAMP","Access","","","Access","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Access","","","Access","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Access","","","Access","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Animauxacceptess","object_pet_policy","accepted","Animauxacceptess","Animauxacceptes","0..n","direct","","observed_100pct","public","direct","approved","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Animauxacceptess","","","Animauxacceptess","Complementdinfo","0..n","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/211","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Animauxacceptess","object_pet_policy","conditions","Animauxacceptess","Complementdinformations","0..n","strip_markdown","","optional","public","strip_markdown","approved","FSHebergementOTISud 0/211",""
"HOT|HLO|CAMP","Animauxacceptess","","","Animauxacceptess","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Animauxacceptess","","","Animauxacceptess","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Animauxacceptess","","","Animauxacceptess","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Capacitecampings","object_capacity","max_capacity","Capacitecampings","Capacite","0..n","metric","capacity_metric","observed_100pct","public","metric","approved","FSHebergementOTISud 3/3",""
"HOT|HLO|CAMP","Capacitecampings","","","Capacitecampings","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 3/3",""
"HOT|HLO|CAMP","Capacitecampings","","","Capacitecampings","Nombredemplacementcamping","0..n","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/3","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Capacitecampings","object_capacity","pitches","Capacitecampings","Nombredeproduits","0..n","metric","capacity_metric","observed_100pct","public","metric","approved","FSHebergementOTISud 3/3",""
"HOT|HLO|CAMP","Capacitecampings","","","Capacitecampings","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 3/3",""
"HOT|HLO|CAMP","Capacitecampings","object_capacity","floor_area_m2","Capacitecampings","Superficieduterrain","0..n","metric","capacity_metric","observed_100pct","public","metric","approved","FSHebergementOTISud 3/3",""
"HOT|HLO|CAMP","Capacitecampings","","","Capacitecampings","Surfacecamping","0..n","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/3","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Capacitecampings","","","Capacitecampings","Surfacedelhabitation","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 3/3","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Capacitecampings","","","Capacitecampings","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 3/3",""
"HOT|HLO|CAMP","Capacites","object_capacity","max_capacity","Capacites","Capacitetotalenombredepersonnes","0..n","metric","capacity_metric","optional","public","metric","approved","FSHebergementOTISud 207/208",""
"HOT|HLO|CAMP","Capacites","","","Capacites","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 208/208",""
"HOT|HLO|CAMP","Capacites","","","Capacites","Nombredechambresfamiliales","0..n","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/208","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Capacites","","","Capacites","Nombredechambrespourpersonneamobilitereduite","0..n","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 0/208","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Capacites","object_capacity","beds","Capacites","Nombredelits","0..n","metric","capacity_metric","optional","public","metric","approved","FSHebergementOTISud 0/208",""
"HOT|HLO|CAMP","Capacites","object_capacity","bedrooms","Capacites","Nombretotaldechambres","0..n","metric","capacity_metric","optional","public","metric","approved","FSHebergementOTISud 15/208",""
"HOT|HLO|CAMP","Capacites","","","Capacites","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 208/208",""
"HOT|HLO|CAMP","Capacites","object_meeting_room","id","Capacites","Salledereunion","0..n","exists_boolean","","optional","public","exists_boolean","approved","FSHebergementOTISud 4/208",""
"HOT|HLO|CAMP","Capacites","","","Capacites","Superficieduterrain","0..n","extension_pending","","optional","public","extension_pending","pending_crt","FSHebergementOTISud 184/208","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Capacites","object_capacity","floor_area_m2","Capacites","Surfacedelhabitation","0..n","metric","capacity_metric","optional","public","metric","approved","FSHebergementOTISud 198/208",""
"HOT|HLO|CAMP","Capacites","","","Capacites","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 208/208",""
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","ThesCode","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 210/210","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","ThesLibelle","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 210/210","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 210/210",""
"HOT|HLO|CAMP","Classificationcategories","","","Classificationcategories","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/210",""
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 49/49",""
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 49/49",""
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 49/49",""
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","ThesCode","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 49/49","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 49/49",""
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","ThesLibelle","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 49/49","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 49/49",""
"HOT|HLO|CAMP","ClassificationsouscategorieCHoteHLOs","","","ClassificationsouscategorieCHoteHLOs","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/49",""
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 17/17",""
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 17/17",""
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 17/17",""
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","ThesCode","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 17/17","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 17/17",""
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","ThesLibelle","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 17/17","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 17/17",""
"HOT|HLO|CAMP","ClassificationsouscategoriegiteHLOs","","","ClassificationsouscategoriegiteHLOs","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/17",""
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 134/134",""
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 134/134",""
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 134/134",""
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","ThesCode","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 134/134","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 134/134",""
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","ThesLibelle","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 134/134","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 134/134",""
"HOT|HLO|CAMP","ClassificationsouscategorielocsaisHLOs","","","ClassificationsouscategorielocsaisHLOs","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/134",""
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 10/10",""
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 10/10",""
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 10/10",""
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","ThesCode","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 10/10","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 10/10",""
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","ThesLibelle","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 10/10","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 10/10",""
"HOT|HLO|CAMP","Classificationsouscategories","","","Classificationsouscategories","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/10",""
"HOT|HLO|CAMP","Descriptifss","object_description","description_chapo","Descriptifss","Accroche","0..n","strip_markdown","","optional","public","strip_markdown","approved","FSHebergementOTISud 191/211",""
"HOT|HLO|CAMP","Descriptifss","object_description","description","Descriptifss","Descriptioncommerciale","0..n","strip_markdown","","optional","public","strip_markdown","approved","FSHebergementOTISud 210/211",""
"HOT|HLO|CAMP","Descriptifss","","","Descriptifss","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Descriptifss","","","Descriptifss","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Descriptifss","","","Descriptifss","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 211/211",""
"HOT|HLO|CAMP","Horairearriveedeparts","object_stay_policy","check_in_from","Horairearriveedeparts","Heuredarrivee","0..n","timespan","","optional","public","timespan","approved","FSHebergementOTISud 0/11",""
"HOT|HLO|CAMP","Horairearriveedeparts","object_stay_policy","check_in_until","Horairearriveedeparts","Heuredarriveemax","0..n","timespan","","optional","public","timespan","approved","FSHebergementOTISud 0/11",""
"HOT|HLO|CAMP","Horairearriveedeparts","object_stay_policy","check_out_until","Horairearriveedeparts","Heurededepart","0..n","timespan","","optional","public","timespan","approved","FSHebergementOTISud 2/11",""
"HOT|HLO|CAMP","Horairearriveedeparts","","","Horairearriveedeparts","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 11/11",""
"HOT|HLO|CAMP","Horairearriveedeparts","","","Horairearriveedeparts","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 11/11",""
"HOT|HLO|CAMP","Horairearriveedeparts","","","Horairearriveedeparts","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 11/11",""
"HOT|HLO|CAMP","Labels","","","Labels","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 34/34",""
"HOT|HLO|CAMP","Labels","","","Labels","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 34/34",""
"HOT|HLO|CAMP","Labels","","","Labels","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 34/34",""
"HOT|HLO|CAMP","Labels","","","Labels","ThesCode","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 34/34","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Labels","","","Labels","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 34/34",""
"HOT|HLO|CAMP","Labels","","","Labels","ThesLibelle","0..n","extension_pending","","observed_100pct","public","extension_pending","pending_crt","FSHebergementOTISud 34/34","Target/import semantics require CRT confirmation."
"HOT|HLO|CAMP","Labels","","","Labels","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 34/34",""
"HOT|HLO|CAMP","Labels","","","Labels","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/34",""
"HOT|HLO|CAMP","LanguesParleess","","","LanguesParleess","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","","","LanguesParleess","Ordre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","","","LanguesParleess","SyndicObjectId","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","object_language","language_id","LanguesParleess","ThesCode","0..n","crosswalk","language","observed_100pct","public","crosswalk","approved","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","","","LanguesParleess","ThesID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","ref_language","name","LanguesParleess","ThesLibelle","0..n","crosswalk_label","language","observed_100pct","public","crosswalk_label","approved","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","","","LanguesParleess","ThesOrdre","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 423/423",""
"HOT|HLO|CAMP","LanguesParleess","","","LanguesParleess","ThesPicto","0..n","excluded_auxiliary","","optional","technical","excluded_auxiliary","excluded","FSHebergementOTISud 0/423",""
"HOT|HLO|CAMP","Localisationss","","","Localisationss","ID","0..n","excluded_auxiliary","","observed_100pct","technical","excluded_auxiliary","excluded","FSHebergementOTISud 227/227",""
