path,scope,collection,field,feeds,reuse_class,bertel_source,transform,mapping_status,review_status,implementation,evidence,notes
Animauxacceptess.SyndicObjectId,relation,Animauxacceptess,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Animauxs.Animauxacceptes,relation,Animauxs,Animauxacceptes,decouverte|restauration,shared,object_pet_policy,profile_alias,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Canonical pet policy
Animauxs.Complementdinfo,relation,Animauxs,Complementdinfo,restauration,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Animauxs.Complementdinformations,relation,Animauxs,Complementdinformations,decouverte|restauration,shared,object_pet_policy,profile_alias,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Canonical pet policy
Animauxs.ID,relation,Animauxs,ID,decouverte|restauration,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Animauxs.Ordre,relation,Animauxs,Ordre,decouverte|restauration,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Animauxs.Poidsanimal.ThesCode,relation,Animauxs,Poidsanimal.ThesCode,restauration,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Animauxs.Poidsanimal.ThesID,relation,Animauxs,Poidsanimal.ThesID,restauration,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Animauxs.Poidsanimal.ThesLibelle,relation,Animauxs,Poidsanimal.ThesLibelle,restauration,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Animauxs.Poidsanimal.ThesOrdre,relation,Animauxs,Poidsanimal.ThesOrdre,restauration,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Animauxs.Poidsanimal.ThesPicto,relation,Animauxs,Poidsanimal.ThesPicto,restauration,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Animauxs.SyndicObjectId,relation,Animauxs,SyndicObjectId,decouverte|restauration,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Capacitecampings.Capacite,relation,Capacitecampings,Capacite,hebergement,feed_specific,object_capacity,camping_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Camping only
Capacitecampings.ID,relation,Capacitecampings,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Capacitecampings.Nombredemplacementcamping,relation,Capacitecampings,Nombredemplacementcamping,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacitecampings.Nombredeproduits,relation,Capacitecampings,Nombredeproduits,hebergement,feed_specific,object_capacity,camping_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Camping only
Capacitecampings.Ordre,relation,Capacitecampings,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Capacitecampings.Superficieduterrain,relation,Capacitecampings,Superficieduterrain,hebergement,feed_specific,object_capacity,camping_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Camping only
Capacitecampings.Surfacecamping,relation,Capacitecampings,Surfacecamping,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacitecampings.Surfacedelhabitation,relation,Capacitecampings,Surfacedelhabitation,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacitecampings.SyndicObjectId,relation,Capacitecampings,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Capacites.Capacite,relation,Capacites,Capacite,decouverte|loisir_plein_air,shared,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Capaciteensalle,relation,Capacites,Capaciteensalle,restauration,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Capaciteenterrasse,relation,Capacites,Capaciteenterrasse,restauration,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Capacitetotale,relation,Capacites,Capacitetotale,restauration,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Capacitetotalenombredepersonnes,relation,Capacites,Capacitetotalenombredepersonnes,hebergement,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.ID,relation,Capacites,ID,decouverte|hebergement|loisir_plein_air|restauration,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Capacites.Nombredechambresfamiliales,relation,Capacites,Nombredechambresfamiliales,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacites.Nombredechambrespourpersonneamobilitereduite,relation,Capacites,Nombredechambrespourpersonneamobilitereduite,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacites.Nombredelits,relation,Capacites,Nombredelits,hebergement,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Nombretotaldechambres,relation,Capacites,Nombretotaldechambres,hebergement,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Ordre,relation,Capacites,Ordre,decouverte|hebergement|loisir_plein_air|restauration,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Capacites.Salledereunion,relation,Capacites,Salledereunion,hebergement,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.Superficieduterrain,relation,Capacites,Superficieduterrain,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacites.Surfacedelhabitation,relation,Capacites,Surfacedelhabitation,hebergement,feed_specific,object_capacity | object_act | object_meeting_room,profile_capacity_shape,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Includes dedicated terrace_seats metric
Capacites.SyndicObjectId,relation,Capacites,SyndicObjectId,decouverte|hebergement|loisir_plein_air|restauration,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Capacitesallereunions.Capacitedelasalle,relation,Capacitesallereunions,Capacitedelasalle,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacitesallereunions.Descriptifdelasalle,relation,Capacitesallereunions,Descriptifdelasalle,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacitesallereunions.ID,relation,Capacitesallereunions,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Capacitesallereunions.Nomdelasalle,relation,Capacitesallereunions,Nomdelasalle,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Capacitesallereunions.Ordre,relation,Capacitesallereunions,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Capacitesallereunions.SyndicObjectId,relation,Capacitesallereunions,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Chaines.Groupe,relation,Chaines,Groupe,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Chaines.Groupe.ThesCode,relation,Chaines,Groupe.ThesCode,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Chaines.Groupe.ThesID,relation,Chaines,Groupe.ThesID,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Chaines.Groupe.ThesLibelle,relation,Chaines,Groupe.ThesLibelle,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Chaines.Groupe.ThesOrdre,relation,Chaines,Groupe.ThesOrdre,decouverte|information_service|loisir_plein_air|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Chaines.Groupe.ThesPicto,relation,Chaines,Groupe.ThesPicto,decouverte|information_service|loisir_plein_air|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Chaines.ID,relation,Chaines,ID,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Chaines.Ordre,relation,Chaines,Ordre,decouverte|information_service|loisir_plein_air|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Chaines.Reseaux,relation,Chaines,Reseaux,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Chaines.Reseaux.ThesCode,relation,Chaines,Reseaux.ThesCode,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Chaines.Reseaux.ThesID,relation,Chaines,Reseaux.ThesID,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Chaines.Reseaux.ThesLibelle,relation,Chaines,Reseaux.ThesLibelle,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
Chaines.Reseaux.ThesOrdre,relation,Chaines,Reseaux.ThesOrdre,decouverte|information_service|loisir_plein_air|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Chaines.Reseaux.ThesPicto,relation,Chaines,Reseaux.ThesPicto,decouverte|information_service|loisir_plein_air|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Chaines.SyndicObjectId,relation,Chaines,SyndicObjectId,decouverte|information_service|loisir_plein_air|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementGitesDeFrances.ID,relation,ClassementGitesDeFrances,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementGitesDeFrances.Ordre,relation,ClassementGitesDeFrances,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassementGitesDeFrances.SyndicObjectId,relation,ClassementGitesDeFrances,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementGitesDeFrances.ThesCode,relation,ClassementGitesDeFrances,ThesCode,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
ClassementGitesDeFrances.ThesID,relation,ClassementGitesDeFrances,ThesID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementGitesDeFrances.ThesLibelle,relation,ClassementGitesDeFrances,ThesLibelle,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
ClassementGitesDeFrances.ThesOrdre,relation,ClassementGitesDeFrances,ThesOrdre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassementGitesDeFrances.ThesPicto,relation,ClassementGitesDeFrances,ThesPicto,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassementsCleVacancess.ID,relation,ClassementsCleVacancess,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementsCleVacancess.Ordre,relation,ClassementsCleVacancess,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassementsCleVacancess.SyndicObjectId,relation,ClassementsCleVacancess,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementsCleVacancess.ThesCode,relation,ClassementsCleVacancess,ThesCode,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
ClassementsCleVacancess.ThesID,relation,ClassementsCleVacancess,ThesID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassementsCleVacancess.ThesLibelle,relation,ClassementsCleVacancess,ThesLibelle,hebergement,feed_specific,object_interop_extension.data,profile_scoped_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,No approved canonical Bertel mapping yet; preserved without loss when supplied by the CRT connector
ClassementsCleVacancess.ThesOrdre,relation,ClassementsCleVacancess,ThesOrdre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassementsCleVacancess.ThesPicto,relation,ClassementsCleVacancess,ThesPicto,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategories.ID,relation,ClassificationCategories,ID,decouverte|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Classificationcategories.ID,relation,Classificationcategories,ID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategories.Ordre,relation,ClassificationCategories,Ordre,decouverte|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Classificationcategories.Ordre,relation,Classificationcategories,Ordre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategories.SyndicObjectId,relation,ClassificationCategories,SyndicObjectId,decouverte|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Classificationcategories.SyndicObjectId,relation,Classificationcategories,SyndicObjectId,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategories.ThesCode,relation,ClassificationCategories,ThesCode,decouverte|restauration|transport,shared,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
Classificationcategories.ThesCode,relation,Classificationcategories,ThesCode,hebergement,feed_specific,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
ClassificationCategories.ThesID,relation,ClassificationCategories,ThesID,decouverte|restauration|transport,shared,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
Classificationcategories.ThesID,relation,Classificationcategories,ThesID,hebergement,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategories.ThesLibelle,relation,ClassificationCategories,ThesLibelle,decouverte|restauration|transport,shared,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
Classificationcategories.ThesLibelle,relation,Classificationcategories,ThesLibelle,hebergement,feed_specific,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
ClassificationCategories.ThesOrdre,relation,ClassificationCategories,ThesOrdre,decouverte|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Classificationcategories.ThesOrdre,relation,Classificationcategories,ThesOrdre,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategories.ThesPicto,relation,ClassificationCategories,ThesPicto,decouverte|restauration|transport,shared,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
Classificationcategories.ThesPicto,relation,Classificationcategories,ThesPicto,hebergement,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriess.ID,relation,ClassificationCategoriess,ID,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriess.Ordre,relation,ClassificationCategoriess,Ordre,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriess.SyndicObjectId,relation,ClassificationCategoriess,SyndicObjectId,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriess.ThesCode,relation,ClassificationCategoriess,ThesCode,loisir_plein_air,feed_specific,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
ClassificationCategoriess.ThesID,relation,ClassificationCategoriess,ThesID,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriess.ThesLibelle,relation,ClassificationCategoriess,ThesLibelle,loisir_plein_air,feed_specific,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
ClassificationCategoriess.ThesOrdre,relation,ClassificationCategoriess,ThesOrdre,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriess.ThesPicto,relation,ClassificationCategoriess,ThesPicto,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriesSousCategorieAdrenalines.ID,relation,ClassificationCategoriesSousCategorieAdrenalines,ID,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriesSousCategorieAdrenalines.Ordre,relation,ClassificationCategoriesSousCategorieAdrenalines,Ordre,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriesSousCategorieAdrenalines.SyndicObjectId,relation,ClassificationCategoriesSousCategorieAdrenalines,SyndicObjectId,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriesSousCategorieAdrenalines.ThesCode,relation,ClassificationCategoriesSousCategorieAdrenalines,ThesCode,loisir_plein_air,feed_specific,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
ClassificationCategoriesSousCategorieAdrenalines.ThesID,relation,ClassificationCategoriesSousCategorieAdrenalines,ThesID,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriesSousCategorieAdrenalines.ThesLibelle,relation,ClassificationCategoriesSousCategorieAdrenalines,ThesLibelle,loisir_plein_air,feed_specific,object_taxonomy + ref_code,profile_taxonomy_crosswalk,approved,approved,api.tourinsoft_reunion_regional_documents,field-union.json,Family-specific collection name
ClassificationCategoriesSousCategorieAdrenalines.ThesOrdre,relation,ClassificationCategoriesSousCategorieAdrenalines,ThesOrdre,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriesSousCategorieAdrenalines.ThesPicto,relation,ClassificationCategoriesSousCategorieAdrenalines,ThesPicto,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
ClassificationCategoriesSousCategorieAeronautiques.ID,relation,ClassificationCategoriesSousCategorieAeronautiques,ID,loisir_plein_air,feed_specific,object_interop_extension,target_identity_roundtrip,pending_crt,pending_crt,public.object_interop_extension,field-union.json,CRT must confirm identifiers required on write
ClassificationCategoriesSousCategorieAeronautiques.Ordre,relation,ClassificationCategoriesSousCategorieAeronautiques,Ordre,loisir_plein_air,feed_specific,,excluded_auxiliary,excluded,excluded,not_exported,field-union.json,Ordering/pictogram metadata
